Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
TrinaBoBina,@katrinaberger,2019-03-22T03:39:27.000Z,"Homemade fancy ramen! #foodporn #ramennight #nom @ Lynnwood, Washington https://instagram.com/p/BvS7qM8Hqg_fYc8QDbHix3rygeXf1cSamz4y8k0/?utm_source=ig_twitter_share&igshid=1nb4wm6dkj0jrâ€¦",,,1
Kainitsu,@Kainitsu,2022-09-27T14:10:52.000Z,"So, over the weekend, I smoked a top loin pork roast for a neighbor. He has been helping with me various ways and I made that for him as thanks. He took some it, shredded and make some awesome looking waffle pork sandwiches! #foodporn",,1,17
Life Food Goals,@lifegoals4me,2022-09-27T15:25:48.000Z,Chocolate Cornflake Bites #foodporn #retweet,,1,5
Foodporn,@food_porn,2022-09-20T15:03:10.000Z,"Cloudy with a chance of meatballs. 
@baileyzeats at @amanolasvegas  #food #foodporn",2,8,31
Life Food Goals,@lifegoals4me,2022-09-27T14:25:31.000Z,How to Make Cake Pops #foodporn #retweet,,1,8
FOODPORN,@FoodPornPixx,2022-09-27T14:26:04.000Z,Brownies #FOODPORN,1,3,14
Isabelle Roussy,@IzyLaRousse,2022-09-26T00:30:02.000Z,"Suite et fin  
Ribs maison, frites maison et salade de chou maison. 
#FoodPorn",8,,42
Life Food Goals,@lifegoals4me,2022-09-22T09:24:03.000Z,Birthday Cake Rice Krispie Treats #foodporn #retweet,3,3,23
